Wall time,Step,Value
1730933034.423058,3671,2.5545494556427
1730933046.028525,3741,3.0721096992492676
1730933049.734789,3771,3.011225700378418
1730933052.3504634,3781,2.981161594390869
1730933064.7763193,3861,2.737227439880371
1730933070.9599974,3901,2.6180083751678467
1730933072.1158369,3911,2.9765114784240723
1730933073.582682,3921,2.5287086963653564
1730933074.8094351,3931,3.115492820739746
1730933077.3577774,3941,2.755718231201172
1730933081.3018095,3971,3.608945369720459
1730933090.0249698,4021,2.520726203918457
1730933092.5670936,4041,2.910698890686035
1730933099.2217522,4081,2.7878198623657227
1730933100.4438412,4091,2.1616222858428955
1730933105.6727378,4121,2.8200721740722656
1730933106.9355671,4131,2.316699504852295
1730933109.4280565,4141,2.8322181701660156
1730933110.692729,4151,2.673024892807007
1730933115.9552653,4181,3.2037389278411865
1730933119.9114258,4211,2.76446533203125
1730933122.3265407,4221,2.4755282402038574
1730933126.3445063,4251,2.859147310256958
1730933128.7070744,4261,2.397289514541626
1730933135.0504208,4301,2.962250232696533
1730933136.2222068,4311,2.8881442546844482
1730933142.7249465,4351,3.103832244873047
1730933143.9823475,4361,2.7964766025543213
1730933145.2051451,4371,2.4897985458374023
1730933148.8178215,4391,2.7085134983062744
1730933150.1683114,4401,2.157968759536743
1730933151.5628629,4411,2.612926959991455
1730933155.2776055,4431,2.6099026203155518
1730933156.4800463,4441,2.1716697216033936
1730933157.8190289,4451,2.3605804443359375
1730933160.3817875,4461,2.0423052310943604
1730933166.8751893,4501,2.431581735610962
1730933169.1949272,4511,2.6107735633850098
1730933170.417622,4521,2.975670099258423
1730933373.39942,4525,0.25935834646224976
1730933374.9689527,4535,2.527679920196533
1730933377.588741,4555,3.38942551612854
1730933381.4305544,4575,2.367349624633789
1730933384.151974,4595,2.4380950927734375
1730933385.8834124,4605,2.3925812244415283
1730933392.5534964,4645,2.4863879680633545
1730933395.0242696,4655,2.7271437644958496
1730933398.5418398,4675,2.328695774078369
1730933401.7131307,4695,2.6735951900482178
1730933408.1000116,4735,2.6002020835876465
1730933409.603121,4745,2.4016687870025635
1730933415.0939512,4775,2.3650624752044678
1730933416.2674763,4785,2.454054355621338
1730933417.8593376,4795,2.4129891395568848
1730933420.1723645,4805,2.51558256149292
1730933424.1431878,4825,2.556016683578491
1730933425.4697561,4835,2.4622533321380615
1730933428.3292408,4855,2.198751449584961
1730933430.8553393,4865,2.295759439468384
1730933432.8675907,4875,2.1649837493896484
1730933434.1442482,4885,2.291403293609619
1730933437.338247,4905,2.6238291263580322
1730933442.8349385,4935,2.2274341583251953
1730933449.8736699,4975,2.0241446495056152
1730933454.0566914,5005,2.1385905742645264
1730933456.3354688,5015,2.221432685852051
1730933457.6742861,5025,2.5006721019744873
1730933462.8071935,5055,2.4482080936431885
1730933468.4550548,5085,2.5618979930877686
1730933469.8029487,5095,2.5964057445526123
1730933471.6083424,5105,2.1385388374328613
1730933472.870022,5115,2.2291195392608643
1730933474.8068225,5125,2.3032386302948
1730933476.176673,5135,2.3371026515960693
1730933481.256676,5165,2.1592307090759277
1730933482.5951185,5175,2.1561849117279053
1730933484.2236207,5185,2.095233201980591
1730933485.7598045,5195,2.678804874420166
1730933490.4977245,5225,2.316964864730835
1730933501.5355093,5295,2.119330883026123
1730933506.2573626,5325,2.119170904159546
1730933507.907692,5335,2.1413562297821045
1730933511.1388779,5355,2.5901365280151367
1730933512.8586197,5365,2.5591719150543213
1730933515.038819,5375,2.4976885318756104
1730933516.3705964,5385,2.1294891834259033
1730933517.6580367,5395,1.868438720703125
1730933521.2288496,5415,2.2823963165283203
1730933522.4713514,5425,2.636690139770508
1730933523.8292515,5435,2.45518159866333
1730933527.731092,5455,2.6616103649139404
1730933528.9731162,5465,2.0175371170043945
1730933534.062303,5495,1.982777714729309
1730933536.6227202,5515,1.9355199337005615
1730933541.6778011,5545,2.8009305000305176
1730933542.8819938,5555,2.4435558319091797
1730933553.019514,5615,2.1242733001708984
1730933554.4190488,5625,2.5175626277923584
1730933555.7865133,5635,2.5369973182678223
1730933562.048029,5675,1.932860016822815
1730933567.0393064,5705,2.033181667327881
1730933570.7355497,5725,3.2373762130737305
1730933574.6257164,5755,2.1595654487609863
1730933581.0291307,5795,2.4295482635498047
1730933587.2405856,5835,2.318000316619873
1730933589.7366056,5845,2.31717848777771
1730933591.0690496,5855,2.800400733947754
1730933593.6025944,5875,2.2456178665161133
1730933597.4176729,5895,2.611729621887207
1730933598.6864045,5905,2.098942995071411
1730933599.9672785,5915,2.156371593475342
1730933603.8914003,5935,2.08931303024292
1730933606.5946627,5955,1.789885401725769
1730933608.9027026,5965,2.3160343170166016
1730933610.2452223,5975,2.1817069053649902
1730933611.5487812,5985,1.8217201232910156
1730933615.3137403,6005,2.212085008621216
1730933616.5811293,6015,2.0875494480133057
1730933617.8542898,6025,1.9009552001953125
1730933621.4675744,6045,2.1051673889160156
1730933625.4667,6075,2.170811653137207
1730933629.30395,6095,2.689962148666382
1730933634.4185903,6125,2.326479911804199
1730933635.6530056,6135,2.4877262115478516
1730933638.6396437,6155,2.8867361545562744
1730933641.8654327,6175,2.795565366744995
1730933645.138837,6195,2.051997661590576
1730933648.2757306,6215,2.335921049118042
1730933650.026073,6225,1.9419217109680176
1730933654.3782165,6255,1.9358265399932861
1730933657.6390805,6275,2.239168643951416
1730933659.4358025,6285,2.0205371379852295
1730933666.0575063,6325,2.0116899013519287
1730933672.2347066,6365,1.8675224781036377
1730933676.2232275,6395,2.625605344772339
1730933678.5190077,6405,2.4558522701263428
1730933679.8954065,6415,2.344151735305786
1730933681.3631983,6425,1.7118855714797974
1730933682.6931574,6435,1.938924789428711
1730933685.0607939,6445,2.0112318992614746
1730933691.5995264,6485,2.2686877250671387
1730933694.160679,6505,1.9592710733413696
1730933695.4092574,6515,2.370485782623291
1730933698.0144937,6525,2.5085055828094482
1730933699.2475002,6535,2.6800601482391357
1730933700.5184782,6545,2.07562255859375
1730933705.4918919,6575,2.335435628890991
1730933708.0301554,6595,2.434987783432007
1730933719.6742558,6665,2.127596616744995
1730933724.1712835,6695,1.988753318786621
1730933732.018919,6745,1.9487519264221191
1730933733.776953,6755,3.5153894424438477
1730933735.819314,6765,2.5498244762420654
1730933740.2828548,6795,1.7753479480743408
1730933743.666862,6815,1.945943832397461
1730933745.2604382,6825,2.5761075019836426
1730933746.4657953,6835,2.8826093673706055
1730933752.883844,6865,1.8094046115875244
1730933764.2398338,6915,1.8354257345199585
1730933771.894709,6935,2.1972098350524902
1730933776.3484735,6955,1.8910695314407349
1730933777.7067356,6965,2.0169119834899902
1730933782.323253,6985,1.9305503368377686
1730933788.3281183,7015,3.762204647064209
1730933791.0537345,7025,3.2921674251556396
1730933797.5835395,7045,1.910847544670105
1730933806.3059738,7085,1.9264336824417114
1730933810.3512442,7095,2.0035133361816406
1730933817.396984,7115,1.896819829940796
1730933824.840841,7145,1.7896937131881714
1730933830.7466514,7165,2.4329636096954346
1730933839.8431292,7195,1.858413815498352
1730933841.1091821,7205,1.7078299522399902
1730933849.8038685,7225,1.8708420991897583
1730933853.3401108,7245,2.022135019302368
1730933855.4988713,7255,2.1161587238311768
1730933862.457504,7275,2.7312870025634766
1730933865.8834417,7285,3.3861119747161865
1730933870.4403768,7305,2.398739814758301
1730933873.065931,7315,2.0680453777313232
1730933874.9688804,7325,1.6940592527389526
1730933887.7525945,7375,3.2781569957733154
1730933897.1250565,7415,2.1016478538513184
1730933900.590469,7425,1.859194040298462
1730933903.1503823,7435,1.6832811832427979
1730933931.3857718,7545,2.029315710067749
1730933932.748723,7555,2.329808235168457
1730933935.463002,7575,1.8386871814727783
1730933944.5802312,7625,1.836128830909729
1730933945.8102486,7635,2.041764259338379
1730933947.087674,7645,1.7923588752746582
1730933952.2606244,7675,1.676223874092102
1730933953.5330274,7685,1.9104597568511963
1730933958.8077846,7715,2.3436813354492188
1730933963.772768,7745,1.6788676977157593
1730933964.9738402,7755,2.077606678009033
1730933967.532184,7775,1.955440640449524
1730933969.9563148,7785,1.689603567123413
1730933971.2101579,7795,1.909127950668335
1730933972.4696229,7805,1.653651237487793
1730933973.7352552,7815,1.7957696914672852
1730933983.5383618,7875,1.6429105997085571
1730933988.4152868,7905,1.659549593925476
1730933990.840293,7925,2.2715117931365967
1730933994.5771878,7945,2.246269941329956
1730934000.957171,7985,2.0520870685577393
1730934008.3453922,8035,2.115402936935425
1730934009.5901692,8045,2.521815299987793
1730934010.7312226,8055,2.109358549118042
1730934013.1693418,8065,1.6650522947311401
1730934016.8925292,8095,1.8914203643798828
1730934029.8021774,8175,2.0846006870269775
1730934032.0055447,8185,1.6225783824920654
1730934034.8801713,8205,2.0529255867004395
1730934038.6361618,8225,3.242736339569092
1730934042.314763,8255,1.9195787906646729
1730934044.8309662,8265,2.397003412246704
1730934046.0174708,8275,1.8916678428649902
1730934052.190703,8315,1.9600225687026978
1730934053.5646117,8325,1.7496341466903687
1730934057.0952947,8345,1.4147577285766602
1730934058.4194193,8355,2.189636707305908
1730934059.8593593,8365,1.7348791360855103
1730934063.3857262,8385,1.9796173572540283
1730934064.6302629,8395,2.005918264389038
1730934069.7653387,8425,1.9759628772735596
1730934072.4361029,8445,2.383810520172119
1730934079.8587918,8495,1.9612849950790405
1730934082.2184894,8505,1.8240206241607666
1730934085.958248,8535,1.803379774093628
1730934090.9590833,8565,1.706089735031128
1730934096.011239,8595,1.9647314548492432
1730934098.5108361,8615,1.7596497535705566
1730934103.5053942,8645,1.893762230873108
1730934104.7428854,8655,1.828895926475525
1730934111.2339103,8695,1.7711330652236938
1730934113.0947926,8705,2.0767345428466797
1730934133.027436,8835,1.5695159435272217
1730934135.5637887,8845,2.2861456871032715
1730934136.8831754,8855,1.7483710050582886
1730934139.4404223,8875,1.7345906496047974
1730934143.2797155,8895,1.8755366802215576
1730934145.6995707,8915,1.566231608390808
1730934150.9275994,8945,1.7550560235977173
1730934154.534629,8965,2.2926831245422363
1730934155.8108544,8975,1.7522509098052979
1730934160.9134846,9005,2.203967809677124
1730934162.2147322,9015,1.6674834489822388
1730934164.6583068,9035,1.5628001689910889
1730934368.4446445,9059,1.9579236507415771
1730934369.8277028,9069,1.547200083732605
1730934373.142236,9089,1.6213990449905396
1730934374.9321506,9099,1.4051845073699951
1730934379.427207,9129,1.6103179454803467
1730934385.6960754,9169,1.8381096124649048
1730934387.6711826,9179,2.172434091567993
1730934390.2931986,9199,3.7041146755218506
1730934393.9850874,9219,2.4360384941101074
1730934400.2494643,9259,1.8207426071166992
1730934401.583695,9269,1.529363751411438
1730934404.3710222,9289,2.3155694007873535
1730934406.5827265,9299,2.259298801422119
1730934407.8116279,9309,1.8380751609802246
1730934409.1618772,9319,1.9180960655212402
1730934412.957143,9339,1.6862298250198364
1730934419.4529922,9379,1.9950425624847412
1730934421.940768,9399,1.6126958131790161
1730934423.3405113,9409,1.8700675964355469
1730934428.3916805,9439,1.607157588005066
1730934434.7090647,9479,1.6323415040969849
1730934439.5795887,9509,1.951979160308838
1730934444.83209,9539,1.976919412612915
1730934446.122501,9549,2.226712465286255
1730934452.3513987,9589,1.763671875
1730934455.0765302,9609,1.900572419166565
1730934457.2543783,9619,1.923012614250183
1730934459.7563343,9639,1.6636168956756592
1730934463.444245,9659,1.6117432117462158
1730934464.6760018,9669,1.5653231143951416
1730934469.6406152,9699,2.079836130142212
1730934477.450857,9749,1.6728473901748657
1730934479.871345,9769,1.8845432996749878
1730934482.3495364,9779,1.7413792610168457
1730934485.0484624,9799,1.7465534210205078
1730934486.2646856,9809,1.9219284057617188
1730934492.8358128,9849,1.668243169784546
1730934499.0600386,9889,1.4716168642044067
1730934502.4957206,9909,1.8972396850585938
1730934505.6468759,9929,1.6866258382797241
1730934507.1194057,9939,1.8744033575057983
1730934508.791456,9949,1.9598243236541748
1730934511.8117797,9969,1.6425158977508545
1730934513.2354825,9979,1.4756333827972412
1730934517.9481819,10009,1.8737016916275024
1730934519.4261303,10019,1.8317052125930786
1730934521.654684,10029,1.632051944732666
1730934524.2438543,10049,2.00576114654541
1730934531.8699377,10099,1.619180679321289
1730934535.5753367,10119,1.5762712955474854
1730934538.1497858,10139,1.6120485067367554
1730934540.584839,10149,1.849537968635559
1730934541.9193683,10159,1.6940975189208984
1730934549.5038698,10209,2.104118824005127
1730934555.7651892,10249,1.5783151388168335
1730934559.5135336,10269,1.6498632431030273
1730934560.872603,10279,1.4680746793746948
1730934569.6181118,10339,1.5060724020004272
1730934571.9779553,10349,2.151916265487671
1730934573.3029456,10359,1.7038098573684692
1730934574.5860937,10369,1.775146484375
1730934575.7952814,10379,1.477121353149414
1730934582.105243,10419,1.8633804321289062
1730934585.6931498,10439,2.1315767765045166
1730934587.0031595,10449,1.5214232206344604
1730934597.1349669,10509,1.7502195835113525
1730934598.4090126,10519,1.4972796440124512
1730934603.41038,10549,1.5535858869552612
1730934605.9766326,10569,1.516862154006958
1730934607.4652324,10579,1.6703883409500122
1730934609.742021,10589,1.4687731266021729
1730934612.3167346,10609,1.4127492904663086
1730934617.2733793,10639,1.7461466789245605
1730934618.4977908,10649,1.6416362524032593
1730934620.0556557,10659,1.9854272603988647
1730934623.530054,10679,1.6521741151809692
1730934624.769676,10689,1.6319825649261475
1730934626.2603276,10699,1.5270745754241943
1730934628.7187638,10709,1.4535741806030273
1730934630.0217104,10719,1.4184136390686035
1730934631.1911066,10729,1.6543792486190796
1730934636.0859811,10759,1.6680021286010742
1730934637.1534405,10769,1.8578020334243774
1730934640.8956277,10789,1.775681734085083
1730934642.1398344,10799,1.5255796909332275
1730934643.3361208,10809,1.593433141708374
1730934648.3055582,10839,1.9711791276931763
1730934650.1148229,10849,2.208890199661255
1730934651.9031827,10859,1.3464148044586182
1730934658.520331,10899,1.6045894622802734
1730934668.7990358,10969,1.811040997505188
1730934672.458007,10989,1.7434864044189453
1730934675.0460548,11009,1.6587584018707275
1730934677.4385595,11019,1.8235018253326416
1730934678.8324306,11029,1.4847742319107056
1730934683.7831166,11059,1.5609769821166992
1730934686.4438272,11079,1.7502689361572266
1730934690.1713178,11099,1.9428458213806152
1730934691.599239,11109,1.6975029706954956
1730934694.2503488,11129,1.9291236400604248
1730934703.218658,11179,1.4807629585266113
1730934705.7694154,11199,1.7947578430175781
1730934707.1596136,11209,1.8189862966537476
1730934712.1835291,11239,1.4717870950698853
1730934713.408779,11249,1.9127076864242554
1730934716.970834,11269,1.6437641382217407
1730934718.348073,11279,1.4911400079727173
1730934719.6857488,11289,1.5106860399246216
1730934722.2162158,11299,1.6351091861724854
1730934723.5135257,11309,1.4717872142791748
1730934726.0808692,11329,1.6205390691757202
1730934728.614644,11339,1.4697606563568115
1730934729.9317417,11349,1.2779797315597534
1730934734.9737694,11379,1.8641598224639893
1730934738.9122415,11409,1.715104341506958
1730934744.4469335,11439,1.7816129922866821
1730934745.7695003,11449,2.0481317043304443
1730934749.6334684,11469,1.5999348163604736
1730934752.1754384,11489,1.4765983819961548
1730934754.5840871,11499,1.6950823068618774
1730934755.8849957,11509,1.663450002670288
1730934757.1446965,11519,1.5949865579605103
1730934768.5617886,11589,2.0116193294525146
1730934771.332737,11609,1.6388731002807617
1730934775.0917764,11629,1.6889660358428955
1730934777.5883908,11649,1.6215715408325195
1730934780.315304,11659,1.431386113166809
1730934789.1015563,11719,1.6140261888504028
1730934790.3078883,11729,2.3623759746551514
1730934794.169607,11749,1.6333404779434204
1730934795.4650047,11759,1.905076026916504
1730934796.7117877,11769,2.054561138153076
1730934802.979893,11809,2.8652431964874268
1730934806.8587732,11829,2.4118878841400146
1730934809.5128832,11849,1.9659467935562134
1730934813.1777356,11869,1.9563511610031128
1730934814.432989,11879,1.5753580331802368
1730934815.890125,11889,1.5931507349014282
1730934820.9338737,11919,1.5975370407104492
1730934822.1803415,11929,1.8953877687454224
1730934824.533448,11939,1.4511730670928955
1730934827.047151,11959,1.8155113458633423
1730934828.352224,11969,1.470543384552002
1730934833.6580858,11999,1.532198190689087
1730934834.9250238,12009,1.8687940835952759
1730934840.1164098,12039,1.304370641708374
1730934841.3636184,12049,2.215550422668457
1730934843.6770031,12059,1.6209110021591187
1730934846.0660617,12079,1.6854918003082275
1730934852.2628984,12119,1.6501259803771973
1730934853.672173,12129,1.3330438137054443
1730934855.9686763,12139,1.5322356224060059
1730934859.9963207,12169,2.1201274394989014
1730934868.8584301,12219,1.6593061685562134
1730934871.42859,12239,1.6126036643981934
1730934883.3535993,12279,2.256412982940674
1730934889.8429303,12309,1.4567773342132568
1730934891.1626832,12319,1.5732930898666382
1730934905.4370298,12369,1.7248862981796265
1730934911.557577,12389,1.9220974445343018
1730934912.7554162,12399,1.6671264171600342
1730934915.4461,12409,1.6990137100219727
1730934916.9265862,12419,1.3407213687896729
1730934919.154488,12429,1.4824042320251465
1730934922.4335902,12439,1.5298337936401367
1730934924.3350372,12449,1.306571125984192
1730934929.5951526,12479,1.2954813241958618
1730934932.923877,12489,1.3759554624557495
1730934934.5322104,12499,1.5017764568328857
1730934936.2082956,12509,1.256583333015442
1730934942.2609518,12529,1.7134597301483154
1730934945.6741126,12549,1.536867380142212
1730934948.036925,12559,1.5454775094985962
1730934960.60848,12589,1.723616600036621
1730934961.9763718,12599,1.8048197031021118
1730934978.9293683,12659,1.5899029970169067
1730934987.8092966,12699,1.366227149963379
1730935001.1268382,12749,1.6193828582763672
1730935004.4357922,12759,1.662919044494629
1730935007.5021346,12769,1.4095064401626587
1730935017.9005053,12809,1.713770866394043
1730935025.200662,12839,1.3701913356781006
1730935038.6790867,12889,1.4537007808685303
1730935045.2418826,12919,1.7023086547851562
1730935052.5610912,12949,1.3943959474563599
1730935057.9479427,12969,1.6466666460037231
1730935060.4436924,12979,1.5897972583770752
1730935064.4193006,13009,1.333524465560913
1730935070.8506043,13049,1.5719616413116455
1730935076.9838028,13089,1.6878482103347778
1730935085.48019,13139,1.7208548784255981
1730935093.2731733,13189,1.5139983892440796
1730935095.9651792,13209,1.429137945175171
1730935098.183151,13219,1.4436752796173096
1730935100.7935772,13239,1.4730772972106934
1730935101.9733377,13249,1.412872076034546
1730935105.56281,13269,1.359096646308899
1730935116.7129736,13339,1.3897149562835693
1730935130.9367173,13429,1.62068510055542
1730935132.276276,13439,1.4466713666915894
1730935135.939551,13459,1.4451442956924438
1730935137.045079,13469,1.7371654510498047
1730935141.9820404,13499,1.7508163452148438
1730935143.2601573,13509,1.6999868154525757
1730935146.265935,13529,1.634097695350647
1730935152.515031,13569,1.2725201845169067
1730935356.074845,13583,1.4336702823638916
1730935362.391805,13623,1.8696407079696655
1730935363.9999259,13633,1.8658825159072876
1730935365.1911175,13643,1.3639928102493286
1730935367.155383,13653,1.3749196529388428
1730935368.6848576,13663,1.2897614240646362
1730935375.2272463,13703,1.6407809257507324
1730935376.5551655,13713,2.1783852577209473
1730935380.0059955,13733,2.005274534225464
1730935381.532149,13743,2.550464153289795
1730935387.9226077,13783,1.2150521278381348
1730935395.9332318,13833,1.700674295425415
1730935397.1438158,13843,1.497017502784729
1730935403.5619783,13883,1.3064974546432495
1730935408.6812508,13913,1.5208840370178223
1730935414.981956,13953,1.2836049795150757
1730935424.1964855,14013,1.4629414081573486
1730935445.2320926,14143,1.3212023973464966
1730935447.5363817,14153,1.4590624570846558
1730935453.8553832,14193,1.745732307434082
1730935469.1116955,14293,1.4101165533065796
1730935470.644668,14303,1.6902873516082764
1730935477.196965,14343,1.494255542755127
1730935480.2251973,14363,1.3394193649291992
1730935481.5437891,14373,1.2838540077209473
1730935483.610382,14383,1.395041823387146
